grid_id,kecamatan,cell_area_m2,bangunan_m2,hijau_m2,jalan_m,road_km_per_km2,building_area_pct,green_area_pct,ratio_green_building,ratio_road_building,score,kategori_emisi
18,Lumbir,150287.47136432037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
19,Lumbir,50896.80196005476,0.0,798.7364688106501,0.0,0.0,0.0,1.5693254547457045,798.7364688106501,0.0,-0.001734727304192748,Sedang
20,Lumbir,219543.5913406744,0.0,56812.32002776217,0.0,0.0,0.0,25.87746683054131,56812.32002776217,0.0,-0.02860486850482921,Sedang
21,Lumbir,250000.0,9148.234124290702,216812.77931266496,85.41276742834181,0.34165106971336723,3.659293649716281,86.72511172506599,23.697369240671108,0.00933551008401629,-0.08521246805386608,Rendah
22,Lumbir,250000.0,116237.11182054906,133762.88817945094,564.2342585464562,2.256937034185825,46.494844728219626,53.50515527178037,1.1507661823168378,0.004854124432247604,0.05996698039371952,Sedang
23,Lumbir,250000.0,105250.65216509905,21228.670926899136,913.1993687134873,3.652797474853949,42.10026086603962,8.491468370759653,0.20169441989945755,0.008676342365448396,0.11101218883527306,Tinggi
24,Lumbir,250000.0,19482.695035027133,60470.762791903864,424.29088391800974,1.697163535672039,7.793078014010852,24.188305116761548,3.1036598901384753,0.021776715512906244,0.003508880588957014,Sedang
25,Lumbir,194567.8737528337,0.0,87.0854574087383,0.0,0.0,0.0,0.044758394964713434,87.0854574087383,0.0,-4.947578566468424e-05,Sedang
26,Lumbir,4371.063096631194,0.0,1157.4786273222692,0.0,0.0,0.0,26.480483162422097,1157.4786273222692,0.0,-0.02927144081627959,Sedang
27,Lumbir,165699.01520211145,3821.1868573832758,159498.52755215144,382.8018357488267,2.310223964106872,2.306101127229019,96.25798159246935,41.72965202997596,0.1001525697283409,-0.08335739368908479,Rendah
28,Lumbir,250000.0,37099.422075042865,208314.51759138505,0.0,0.0,14.839768830017148,83.32580703655402,5.61488268704944,0.0,-0.059707174119833596,Sedang
29,Lumbir,250000.0,47546.982031630985,120062.13397239176,350.5844674831433,1.4023378699325733,19.018792812652393,48.02485358895671,2.5250731753983,0.007373277529421108,-0.0006284183008606059,Sedang
30,Lumbir,250000.0,99408.39630068211,33334.84955277746,1291.0266255199178,5.1641065020796715,39.763358520272845,13.333939821110983,0.3353289607749959,0.012986967767261848,0.1123393181969459,Tinggi
31,Lumbir,235103.89638951642,22108.203281623282,39072.399968728176,315.10449076465807,1.3402776202509121,9.403588635126132,16.61920562302959,1.76724595052253,0.014252186600797438,0.012609778115044528,Sedang
32,Lumbir,127398.80723888049,0.0,127398.8072388805,0.0,0.0,0.0,100.00000000000003,127398.8072388805,0.0,-0.11053967798373894,Rendah
33,Lumbir,250000.0,0.0,232044.88677476416,0.0,0.0,0.0,92.81795470990566,232044.88677476416,0.0,-0.10260066824742235,Rendah
34,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
35,Lumbir,250000.0,77421.97775319342,89285.51097822996,1033.9666941541795,4.1358667766167185,30.968791101277372,35.71420439129198,1.1532172175403992,0.013354778182908783,0.060382060702798744,Sedang
36,Lumbir,247286.90823159876,21472.99682022604,0.0,91.41576261839764,0.3696748981663897,8.68343454725687,0.0,0.0,0.004257044619299491,0.02184129384650383,Sedang
37,Lumbir,114623.27808451845,1689.6821393240623,43502.00458238861,249.41754635472444,2.1759763856239944,1.4741177948847013,37.952155364385966,25.730445463735006,0.1475248011163364,-0.021769468960329517,Sedang
38,Lumbir,120.68441071755177,0.0,120.32511873575139,0.0,0.0,0.0,99.70228799257158,120.32511873575139,0.0,-0.11021058808940862,Rendah
39,Lumbir,80994.07977027122,0.0,76731.26112339001,0.0,0.0,0.0,94.73687625197778,76731.26112339001,0.0,-0.10472183794078944,Rendah
40,Lumbir,250000.0,0.0,247050.43147506338,0.0,0.0,0.0,98.82017259002535,247050.43147506338,0.0,-0.10923550056398905,Rendah
